,Location,Average Salary by Location ($CLP),Occupation,Average Salary for Each Occupation by Location($CLP),Average National Salary for Each Occupation ($CLP)
1998,"Ross & Fayette Counties PUMA, OH",68467618.31118982,Nurse anesthetists,389211609.504,278728431.6744965
1999,"Northeast Oklahoma PUMA, OK",68398708.81437229,Personal financial advisors,846023110.3333335,224327492.92839324
2000,"Lane County (Outside Eugene & Springfield Cities) PUMA, OR",68349330.16627708,Dentists,731976095.3695652,258225172.68799314
2001,"Kent County (Southwest) PUMA, MI",68346342.83718883,Physicians,324019845.60305345,418213885.2623563
2002,"Inside Beltway TX-8 PUMA, TX",68292932.98987235,Music directors and composers,512120527.2592593,69234247.62803745
2003,"Klamath, Malheur, Lake & Harney Counties PUMA, OR",68233758.73260142,Other construction and related workers,467053904.84210527,68310380.9384649
2004,"Houston (East), Galena Park, Jacinto Cities & Cloverleaf PUMA, TX",68209828.55693571,"Miscellaneous agricultural workers, including animal breeders",372823773.99999994,33622271.1589022
2005,"Hoke, Richmond & Scotland Counties PUMA, NC",68188202.35901232,Physicians,430181277.6923078,418213885.2623563
2006,"Greene, Carter, Unicoi & Johnson Counties PUMA, TN",68178162.95322843,Aircraft pilots & flight engineers,901332170.6086956,233771261.06901407
2007,"Panhandle & Northwest Oklahoma PUMA, OK",68174419.64236964,Computer support specialists,307272336.5581395,112358384.51310462
2008,"North Central Region PUMA, MS",68156388.81087403,Dentists,686241545.6326531,258225172.68799314
2009,"Warren & Niles Cities PUMA, OH",68148005.14999002,Personal financial advisors,460250036.2012987,224327492.92839324
2010,"Fayetteville City (West) PUMA, NC",68128215.36062197,Nurse practitioners & nurse midwives,276545085.9865772,176369664.75898403
2011,"Belmont, Crotona Park East & East Tremont PUMA, NY",68122035.85744634,Correctional officers and jailers,1351998168.0,89835845.5242032
2012,"Cedar City PUMA, UT",68072159.0623329,Precision instrument & equipment repairers,440743743.9375,80537955.30771723
2013,"Jacksonville City (Arlington) PUMA, FL",68056417.75546803,Firstline supervisors of housekeeping & janitorial workers,396886487.898305,61544558.4797726
2014,"Youngstown City, Boardman & Austintown PUMA, OH",68027766.12747721,Exercise trainers and group fitness instructors,422228836.5963303,37523787.584229276
2015,"Crawford & Warren Counties PUMA, PA",68011725.66268879,Speechlanguage pathologists,995562367.0,101519172.27048917
2016,"Pennyrile Area Development District (South) PUMA, KY",68004879.07441767,Insurance sales agents,596326669.6142132,108894176.09057176
2017,"Charlotte City (Northeast) PUMA, NC",67998691.77516168,"News analysts, reporters, and journalists",846023096.1553398,111634981.52974543
2018,"DeKalb & Jackson Counties PUMA, AL",67961031.29698883,Nurse anesthetists,800956535.625,278728431.6744965
2019,"Monroe City PUMA, NC",67942457.06101315,Software developers,382621410.4736842,212761855.70685202
2020,"Between Loop TX-1604 & Loop I-410 PUMA, TX (79500US4805910)",67902694.6630174,Chief executives & legislators,405161602.4609665,285675917.3191395
2021,"Bartow County PUMA, GA",67885939.4967187,Aircraft mechanics & service technicians,276545081.5045872,100729447.02662206
2022,"Jefferson, Grant & Arkansas (Northwest) Counties PUMA, AR",67855223.02897388,Physicians,293794887.37704915,418213885.2623563
2023,"Port Orange, Edgewater, New Smyrna Beach (East) & Oak Hill Cities PUMA, FL",67835642.30077331,Physicians,565287396.0365853,418213885.2623563
2024,"Grand Rapids City PUMA, MN",67823486.79022536,Physicians,596335304.5526675,418213885.2623563
2025,"Fresno City (Southwest) PUMA, CA",67820849.97089973,Dentists,327757129.8857143,258225172.68799314
2026,"Greater Grand Junction & Fruita Cities PUMA, CO",67799626.3458328,Civil engineers,491635700.41935486,158104345.4689587
2027,"Cherokee, Newberry, Chester & Union Counties PUMA, SC",67778170.0673059,Special education teachers,403736372.28054297,79729571.38185726
2028,"Scioto & Lawrence Counties PUMA, OH",67725677.88681579,"Sales representatives, wholesale & manufacturing",493684185.2941176,137353420.12825927
2029,"Compton City & West Rancho Dominguez PUMA, CA",67717644.0616948,"Legal support workers, all other",471150909.3191489,104844134.74981996
2030,"Arlington (East) & Grand Prairie (West Central) Cities PUMA, TX",67703322.83674462,Billing & posting clerks,958689659.4375,61016322.68142644
2031,"Farmington, Bloomfield & Aztec Cities PUMA, NM",67666490.88759518,"Geoscientists and hydrologists, except geographers",327757129.3457944,176220394.33677876
2032,"Georgetown, Marion & Dillon Counties PUMA, SC",67631900.92352574,Management analysts,543258841.48,144421115.31703618
2033,"South Central Iowa PUMA, IA",67628784.58690621,Veterinarians,542429725.4693878,171603331.8240765
2034,"Lawrence, Giles, Wayne, Lewis & Perry Counties PUMA, TN",67618495.40367302,Personal financial advisors,901332147.4736842,224327492.92839324
2035,"Campbell County & Lynchburg City PUMA, VA",67602989.34047237,Physicians,727261445.2421052,418213885.2623563
2036,"Kershaw, Richland (South) & Calhoun Counties PUMA, SC",67601712.73169436,"Purchasing agents, except wholesale, retail, & farm products",460908486.7878788,105279488.32239036
2037,"Newark City (Southwest) PUMA, NJ",67596165.938506,"Welding, soldering, & brazing workers",381680433.3352942,71807968.91885996
2038,"Dayton & Riverside Cities PUMA, OH",67581979.58264227,Physicians,390715440.99999994,418213885.2623563
2039,"Heart of Georgia Altamaha Regional Commission (Southeast) PUMA, GA",67575275.23203431,Physicians,798841954.3870968,418213885.2623563
2040,"Madison & Cortland Counties PUMA, NY",67574042.34984548,Physicians,358484341.4693877,418213885.2623563
2041,"Southside Planning District Commission & Commonwealth Regional Council PUMA, VA",67473932.41547838,Detectives & criminal investigators,775628762.7398844,140473661.98199973
2042,"Muskegon County PUMA, MI",67470519.82438572,Sales managers,348241952.6092185,215569207.83716124
2043,"Calhoun County PUMA, AL",67451454.72069478,Nurse practitioners & nurse midwives,800956557.9597316,176369664.75898403
2044,"Columbiana County PUMA, OH",67412033.60297176,General & operations managers,327757129.0833333,159600529.72584003
2045,"Western Upper Peninsula PUMA, MI",67378858.33138844,Sales engineers,874701884.4255319,219954122.53236544
2046,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA, WA",67368711.63892782,Electrical & electronics engineers,614544626.72,175462806.86990792
2047,"Wichita CountyWichita Falls City PUMA, TX",67352715.14737988,Nurse anesthetists,491635731.8130841,278728431.6744965
2048,"Granville, Person & Caswell Counties PUMA, NC",67345040.83820298,Aircraft pilots & flight engineers,405599463.76859504,233771261.06901407
2049,"Cleveland City (East) & Bratenahl Village PUMA, OH",67344636.19838929,Surgeons,884944251.3333333,571660495.1726127
2050,"Johnson, Lafayette, Ray, Clinton & Caldwell Counties PUMA, MO",67270496.3926132,Data entry keyers,399984956.122449,46605956.161965095
2051,"Rockingham & Stokes Counties PUMA, NC",67248484.5336021,Nurse practitioners & nurse midwives,286787495.5882353,176369664.75898403
2052,"Mount Rogers Planning District Commission PUMA, VA",67236836.68249285,Physicians,585649695.2137203,418213885.2623563
2053,"Louisville/Jefferson County (Southwest) PUMA, KY",67230281.05140933,Chefs & head cooks,204848223.76923075,58527442.86835749
2054,"Inside Loop I-820 PUMA, TX",67224361.18011957,Pharmacists,279768793.7450199,179214605.3943039
2055,"Morris Heights, Fordham South & Mount Hope PUMA, NY",67202654.2677364,Correctional officers and jailers,790197457.6891496,89835845.5242032
2056,"Chautauqua County PUMA, NY",67196559.9070937,Physicians,663119638.119403,418213885.2623563
2057,"Hialeah City (North Central) PUMA, FL",67190349.13707492,Crane & tower operators,975077559.6646707,105461525.44193414
2058,"Fontana City (East) PUMA, CA",67171958.69253418,"Social workers, all other",335951057.5214724,85852685.8594997
2059,"South Gate & Lynwood Cities PUMA, CA",67140502.02337424,Computer programmers,256060268.13114753,157446930.1405544
2060,"Wayne & Decatur (Northwest) TownshipsIndianapolis City (West) PUMA, IN",67106283.84912728,Mechanical engineers,243257259.45652175,157560862.9943854
2061,"Shelby City PUMA, NC",67103120.059865996,"Other education, training, & library workers",409696437.7297298,76145762.50670037
2062,"Jackson, Williamson, Franklin & Perry Counties PUMA, IL",67073669.93528816,Physicians,481460888.0907216,418213885.2623563
2063,"El Monte & South El Monte Cities PUMA, CA",67058398.81564224,Clinical laboratory technologists & technicians,1157392448.3478262,81966040.33657517
2064,"South Delta Region PUMA, MS",67055884.59648256,Nurse anesthetists,686241669.4285715,278728431.6744965
2065,"Eugene City (West & South) PUMA, OR",67036831.26617696,"Heating, air conditioning, & refrigeration mechanics & installers",713602143.4180329,77601917.58451673
2066,"Webb County (North & East)Laredo City (Outer) PUMA, TX",67011298.73951829,Physicians,286787506.6308725,418213885.2623563
2067,"Lycoming & Clinton Counties PUMA, PA",67008923.05834093,Physicians,555824642.7297921,418213885.2623563
2068,"St. Louis County (Northeast) PUMA, MO",66962560.9666207,Software developers,316455175.57758623,212761855.70685202
2069,"Brownsville City (North) PUMA, TX",66927379.05226005,Architectural & engineering managers,561284111.1794871,271146679.44610673
2070,"North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA, IL",66915083.32388969,Telemarketers,1112325869.2941175,29329326.292079538
2071,"Polk County (Northwest) PUMA, FL",66891716.442917526,Chief executives & legislators,479011726.02439016,285675917.3191395
2072,"LA City (North Central/Mission Hills & Panorama City) PUMA, CA",66888333.99460243,Graphic designers,524411428.99999994,77550002.63985498
2073,"Wayne County PUMA, NC",66863445.32972538,Physicians,399454019.49999994,418213885.2623563
2074,"El Paso City (North) PUMA, TX",66861721.15972318,Chief executives & legislators,409696426.8,285675917.3191395
2075,"Fort Wayne City (North) PUMA, IN",66849674.84727733,Veterinarians,344144993.6146789,171603331.8240765
2076,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA, AR",66795819.708510466,Magnetic resonance imaging technologists,864459497.7142859,203515513.71080974
2077,"Colorado Springs City (Central) PUMA, CO",66770245.38526531,Firefighters,279125859.59055114,122818514.90933341
2078,"Colusa, Glenn, Tehama & Trinity Counties PUMA, CA",66755688.682482556,Technical writers,368726760.41379315,114793719.14882794
2079,"New Castle City PUMA, PA",66754149.56118869,"Power plant operators, distributors, & dispatchers",346193468.7096774,155839655.57713184
2080,"Buchanan, Andrew & DeKalb Counties PUMA, MO",66743942.6720795,Physician assistants,348241983.0,186531725.38923976
2081,"Apalachee Region (Outside Leon County) PUMA, FL",66734244.630816884,Physicians,722630271.3203883,418213885.2623563
2082,"Tucson City (Southeast) PUMA, AZ",66698189.92247713,Aerospace engineers,309320795.83561647,188708334.9702543
2083,"Phoenix City (South) PUMA, AZ",66690699.8272575,"Industrial engineers, including health & safety",348241953.2647059,147532692.77462214
2084,"LA City (Central/Koreatown) PUMA, CA",66645313.08321277,Word processors & typists,357985534.78756475,47359573.38297913
2085,"Columbus, Bladen & Robeson (East) Counties PUMA, NC",66623927.52297731,Chief executives & legislators,846023132.8,285675917.3191395
2086,"Pasco County (Gulf Coast) PUMA, FL",66622313.21379609,Computer network architects,975077552.4,192965510.23446938
2087,"Northwest Kansas PUMA, KS",66613027.09822934,Cost estimators,899283673.8064516,119224414.19934453
2088,"Tuscola, Sanilac & Huron Counties PUMA, MI",66591222.17025554,Dietetic technicians and ophthalmic medical technicians,636146812.0,48087362.34086192
2089,"Greater Yakima City PUMA, WA",66518474.68523786,Nurse anesthetists,436326693.96428573,278728431.6744965
2090,"New River Valley Planning District Commission PUMA, VA",66501681.93061639,"Firstline supervisors of mechanics, installers, & repairers",297029912.8,112062769.09033076
2091,"Homestead City (North) & Florida City (North) PUMA, FL",66492852.34354944,Physicians,409696426.8,418213885.2623563
2092,"Lenoir, Onslow (North) & Jones Counties PUMA, NC",66488479.41765664,Personal care aides,846023119.8072289,34809023.69478929
2093,"Cambria County PUMA, PA",66478030.51835242,File clerks,307272315.94520545,39856668.160243124
2094,"Clallam & Jefferson Counties PUMA, WA",66431135.96850796,Dentists,561091554.5641025,258225172.68799314
2095,"White, Jackson, Prairie & Woodruff Counties PUMA, AR",66353121.72229493,Firstline supervisors of construction trades & extraction workers,579886545.1013514,106833302.0637394
2096,"Northeast Lower Peninsula PUMA, MI",66330298.18694811,Computer & information systems managers,874701879.4615386,207310144.3027507
2097,"Northwest Louisiana PUMA, LA",66280032.731405824,Physicians,424106953.87593055,418213885.2623563
2098,"Gary City & Griffith Town PUMA, IN",66276674.35788542,"Doortodoor sales workers, news & street vendors, & related workers",376920711.88571423,24266152.94118063
2099,"Terre Haute City PUMA, IN",66267401.849743955,Personal financial advisors,843974633.2207792,224327492.92839324
2100,"Pulaski, Camden, Miller & Morgan Counties PUMA, MO",66255297.475221,Physicians,852168572.6582279,418213885.2623563
2101,"Manatee County (West Central) PUMA, FL",66240694.936361976,Computer programmers,327757128.3243243,157446930.1405544
2102,"Henderson & Anderson Counties PUMA, TX",66222453.72949866,Purchasing managers,327757124.51162785,149654481.25975567
2103,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA, AL",66203776.10381598,Physicians,645741655.556391,418213885.2623563
2104,"Southern Georgia Regional Commission (West) PUMA, GA",66179034.162154034,Postal service mail carriers,356913583.77327937,82732185.41852862
2105,"Manhattan City PUMA, KS",66147277.34028221,Physicians,536378895.2307694,418213885.2623563
2106,"Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties PUMA, MS",66135472.16164137,Physicians,686241537.4814814,418213885.2623563
2107,"Tulare & Porterville Cities PUMA, CA",66126969.294595174,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",1039725245.6470588,61560745.6869894
2108,"Warren County PUMA, KY",66099587.600332126,Dentists,815295829.8378378,258225172.68799314
2109,"Androscoggin County PUMA, ME",66071439.72335332,Physicians,729259662.039735,418213885.2623563
2110,"Cleveland City PUMA, TN",66015676.00918658,Firefighters,413437952.2191781,122818514.90933341
2111,"Pasco County (West Central) PUMA, FL",65981147.66541253,Software developers,439752882.28715366,212761855.70685202
2112,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA, OK",65967002.249266215,Pipelayers,409696484.5714285,86023140.4936068
2113,"Cattaraugus & Allegany Counties PUMA, NY",65940861.81291298,Physicians,619740054.9130435,418213885.2623563
2114,"Lakota Region PUMA, SD",65939146.674464166,"Lawyers, & judges, magistrates, & other judicial workers",397050195.06122446,251695543.47547695
